ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
953,Place Paul Bec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView953.html""; ""953"")",65.23,24615140,"[267580540, 265893084, 247218648, 282714895, 282714872, 282714880]","[3.886496, 3.886464, 3.886199, 3.8862319999999997, 3.886187, 3.886202]","[43.607954, 43.607956, 43.607975, 43.608208, 43.608212, 43.608315]","[2.59, 21.42, 26.03, 3.67, 11.52]"
954,Place Paul Bec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView954.html""; ""954"")",62.43,24615140,"[282714880, 282714888, 282714873, 247218647, 247218646, 267580539]","[3.886202, 3.886215, 3.8862579999999998, 3.886292, 3.886553, 3.886575]","[43.608315, 43.608401, 43.608399, 43.608635, 43.608616, 43.608614]","[9.69, 3.46, 26.4, 21.1, 1.78]"
955,Place de Thessalie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView955.html""; ""955"")",142.07,24615186,"[246691366, 246691365, 246691364, 282708904, 282708925, 246691363, 246691362, 294023870, 246691361, 294023872, 246691360, 246691359, 285471211, 294023874, 294023876, 285471205, 246691357, 267581640, 246691368, 282708901]","[3.891136, 3.891304, 3.891317, 3.89135, 3.891384, 3.891458, 3.891521, 3.891594, 3.8916459999999997, 3.891695, 3.891763, 3.891794, 3.891832, 3.891847, 3.891855, 3.8918530000000002, 3.892022, 3.892092, 3.892057, 3.892052]","[43.608283, 43.608272, 43.608324, 43.608376, 43.60841, 43.608451, 43.608465, 43.608471, 43.608466, 43.608454, 43.608422, 43.608398, 43.608349, 43.608308, 43.608277, 43.608234, 43.608223, 43.608213, 43.607943, 43.607893]","[13.57, 5.85, 6.35, 4.75, 7.46, 5.27, 5.92, 4.24, 4.15, 6.51, 3.66, 6.32, 4.63, 3.5, 4.79, 13.67, 5.71, 30.24, 5.48]"
956,Place de Thessalie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView956.html""; ""956"")",188.32,24615186,"[282708901, 246691375, 246691382, 246691309, 246691308, 294023890, 294023891, 294023889, 294023888, 294023886, 294023885, 246691307, 246691306, 246691305, 246691304, 246691303, 246691302, 294023884, 246691301, 246691300, 294023883, 294023882, 246691299, 285471201, 246691297, 267581642, 282708900]","[3.892052, 3.892049, 3.892014, 3.891936, 3.891787, 3.8917859999999997, 3.891777, 3.891749, 3.891724, 3.891685, 3.891647, 3.891611, 3.891562, 3.891482, 3.89143, 3.8913789999999997, 3.891345, 3.891299, 3.891272, 3.891245, 3.891218, 3.891196, 3.891196, 3.891204, 3.8910460000000002, 3.890952, 3.890995]","[43.607893, 43.607852, 43.60758, 43.60758, 43.60759, 43.60756, 43.607526, 43.607479, 43.607455, 43.607427, 43.607407, 43.607391, 43.607379, 43.607371, 43.607376, 43.607387, 43.607397, 43.607422, 43.607442, 43.607468, 43.607503, 43.607559, 43.607614, 43.607627, 43.607638, 43.607665, 43.607972]","[4.6, 30.35, 6.3, 12.0, 3.2800000000000002, 3.85, 5.72, 3.34, 4.39, 3.75, 3.41, 4.2, 6.47, 4.25, 4.23, 3.02, 4.61, 3.06, 3.58, 4.52, 6.4, 6.21, 1.5899999999999999, 12.76, 8.16, 34.27]"
957,Place de Thessalie,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView957.html""; ""957"")",36.28,24615186,"[282708900, 294022884, 267581639]","[3.890995, 3.891037, 3.891065]","[43.607972, 43.608277, 43.608276]","[34.02, 2.26]"
958,Place Dionysos,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView958.html""; ""958"")",324.96,24615192,"[286420870, 246691330, 246691331, 246691332, 246691329, 282722000, 294024680, 294024690, 294024685, 294024681, 246691339, 246691336, 246691333, 267581751, 246691335, 286420874]","[3.892621, 3.892635, 3.893016, 3.893047, 3.892662, 3.892674, 3.893143, 3.89314, 3.893429, 3.893432, 3.893913, 3.8939, 3.893511, 3.893485, 3.893874, 3.893863]","[43.607856, 43.607952, 43.607926, 43.608136, 43.608166, 43.608289, 43.608253, 43.608228, 43.608205, 43.608229, 43.608191, 43.608072, 43.608099, 43.607888, 43.607857, 43.60777]","[10.71, 30.84, 23.49, 31.1, 13.67, 37.96, 2.8, 23.4, 2.61, 38.92, 13.32, 31.44, 23.53, 31.45, 9.72]"
959,Place Dionysos,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView959.html""; ""959"")",104.15,24615192,"[286420874, 267581750, 246691325]","[3.893863, 3.89386, 3.8926179999999997]","[43.60777, 43.607737, 43.607828]","[3.71, 100.44]"
960,Place du Millenaire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView960.html""; ""960"")",76.93,24615256,"[282708978, 282708977]","[3.890071, 3.889119]","[43.607817, 43.607886]",[76.93]
961,Place du Millenaire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView961.html""; ""961"")",45.48,24615256,"[282708977, 246689492, 294020501, 294020495, 246689493, 246689494, 246689483, 282717763]","[3.889119, 3.8890469999999997, 3.888992, 3.88894, 3.888909, 3.888889, 3.888673, 3.888612]","[43.607886, 43.6079, 43.607921, 43.607945, 43.607972, 43.607997, 43.608012, 43.60802]","[6.07, 4.9, 5.02, 3.92, 3.17, 17.46, 4.94]"
964,Place du Millenaire,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView964.html""; ""964"")",45.09,24615256,"[282717764, 246689469, 246689482, 246689481, 246689480, 294020484, 246689479, 294020485, 246689478, 294020486]","[3.888641, 3.888706, 3.888912, 3.88894, 3.8889769999999997, 3.889021, 3.889063, 3.889107, 3.889144, 3.889172]","[43.608253, 43.608253, 43.608239, 43.608257, 43.608277, 43.608294, 43.608304, 43.608312, 43.608314, 43.608313]","[5.25, 16.68, 2.99, 3.7, 4.01, 3.55, 3.7199999999999998, 2.98, 2.21]"
